MUNICIPIO,ID MPIO,ID LOC., 
04,010,40100068,Cristóbal Colón
04,010,40100075,Dos Lagunas
04,010,40100076,Dos Lagunas 2
04,010,40100077,Dos Naciones
04,010,40100082,Felipe Ángeles
04,010,40100083,Felipe Ángeles II
04,010,40100091,La Guadalupe
04,010,40100094,Guillermo Prieto
04,010,40100095,Gustavo Díaz Ordaz (San Antonio Soda)
04,010,40100096,Heriberto Jara Corona
04,010,40100097,Hermenegildo Galeana
04,010,40100099,Ingeniero Eugenio Echeverría Castellot
04,010,40100100,Eugenio Echeverría Castellot No. 2 (Carrizal)
04,010,40100101,Ricardo Payro Jene (Polo Norte)
04,010,40100124,José María Morelos y Pavón (Cibalito)
04,010,40100125,Josefa Ortíz de Domínguez (Icaiché)
04,010,40100127,Justo Sierra Méndez
04,010,40100131,Lázaro Cárdenas Número Dos (Ojo de Agua)
04,010,40100132,Ley de Fomento Agropecuario (La Misteriosa)
04,010,40100139,La Lucha
04,010,40100140,La Lucha 2
04,010,40100141,El Manantial
04,010,40100142,General Manuel Castilla Brito (El Diecisiete)
04,010,40100143,Lic. Manuel Crecencio Rejón (Frontera Sur)
04,010,40100152,Narcizo Mendoza
04,010,40100154,Niños Héroes
04,010,40100158,Nueva Vida
04,010,40100159,Nuevo Bécal (El Diecinueve)
04,010,40100160,Nuevo Campanario
04,010,40100161,Nuevo Conhuás
04,010,40100164,Nuevo Paraíso
04,010,40100165,Nuevo Progreso
04,010,40100166,Nuevo San José
04,010,40100167,Nuevo Veracruz
04,010,40100170,Once de Mayo
04,010,40100171,Pablo García
04,010,40100176,Pioneros del Río Xnohá
04,010,40100179,Cinco de Mayo (Plan de Ayala)
04,010,40100191,Puebla de Morelia
04,010,40100192,Kiché las Pailas
04,010,40100194,El Refugio
04,010,40100195,Ricardo Flores Magón (Laguna Cooxli)
04,010,40100209,San José (Kilómetro Ciento Veinte)
04,010,40100217,San Miguel
04,010,40100225,Santa Lucía
04,010,40100226,Santa Rosa
04,010,40100236,Los Tambores de Emiliano Zapata
04,010,40100238,El Tesoro
04,010,40100241,Tomás Aznar Barbachano (La Moza)
04,010,40100256,Unidad y Trabajo
04,010,40100257,Unión Veinte de Junio (Mancolona)
04,010,40100261,Valentín Gómez Farías
04,010,40100262,Veinte de Noviembre
04,010,40100264,Veintiuno de Mayo (Lechugal)
04,010,40100265,La Victoria
04,010,40100266,Virgencita de la Candelaria
04,010,40100268,Xbonil
04,011,40110018,Alianza Productora
04,011,40110038,San Juan Arroyo Las Golondrinas
04,011,40110099,El Chilar
04,011,40110115,Corte Pajaral
04,011,40110130,Las Delicias
04,011,40110135,El Desengaño
04,011,40110147,Francisco I. Madero Número Uno
04,011,40110153,Emiliano Zapata
04,011,40110166,La Esmeralda
04,011,40110169,Esperanza
04,011,40110188,Estrella del Sur
04,011,40110194,Flor de Chiapas
04,011,40110202,Francisco I. Madero Número Dos
04,011,40110207,General Francisco J. Mújica
04,011,40110212,Las Golondrinas
04,011,40110225,Héctor Pérez Morales
04,011,40110238,El Salvaje
04,011,40110294,Laguna la Perdida
04,011,40110302,Licenciado Justo Sierra Méndez
04,011,40110314,La Lucha
04,011,40110317,Luinal
04,011,40110319,El Machetazo
04,011,40110325,El Mamey
04,011,40110340,Miguel Alemán
04,011,40110341,Miguel de la Madrid (El Pañuelo)
04,011,40110344,La Misteriosa
04,011,40110358,Narcizo Mendoza
04,011,40110360,Nueva Delicias II
04,011,40110361,Nueva Esperanza
04,011,40110366,La Nueva Lucha
04,011,40110367,Nueva Rosita
04,011,40110369,San Manuel Nuevo Canutillo
04,011,40110381,Campo la Olla
04,011,40110382,Pablo García
04,011,40110383,Pablo Torres Burgos
04,011,40110412,El Pedregal
04,011,40110416,Pedro Baranda
04,011,40110428,El Pocito
04,011,40110435,El Porvenir
04,011,40110453,El Ramonal
04,011,40110454,El Pimiental II
04,011,40110546,San Jose de las Montañas
04,011,40110551,San Juan
04,011,40110566,San Miguel
04,011,40110602,Santa Lucía
04,011,40110612,Santa Rosa
04,011,40110616,Santo Domingo
04,011,40110629,Solidaridad
04,011,40110635,El Tablón
04,011,40110642,El Tigre
04,011,40110667,La Union (Dos Arroyos)
04,011,40110670,Tulipán (El Imposible)
04,011,40110680,Venustiano Carranza
04,011,40110683,Vicente Guerrero
04,011,40110696,Primer Presidente de México (Gpe. Victoria)
04,011,40111231,Río Caribe (Caribe)
04,011,40114414,Santa Lucía
04,011,XXXXXX,Lazaro Cardenas
04,011,,Lazaro Cardenas
